district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
FL-20,80.2,18.1,82.5,17.1,80.9,18.6,99.9,0,80.3,19.7,Redrawn,,23.9,51.6,20.3,2.6,0.1,1.4,25.2,47.5,22.6,2.6,0.2,1.9,82.1,21,27.7,46252.00
FL-21,58.6,39.1,60.4,38.9,63.4,35.9,100,0,62.7,35.1,Redrawn,,68.1,12.3,16.2,2.3,0.1,1,66.8,11.7,17.8,2.3,0.1,1.2,87.9,35,41.5,58430.00
FL-22,56.8,41,56.3,43,58.3,41,62,38,58.9,41.1,Redrawn,,67.2,12.3,16.5,2.6,0.2,1.2,67.5,11.2,16.6,2.8,0.1,1.8,91.4,39,44.5,62550.00
FL-23,61.9,35.8,61.4,38,62,37.3,58.5,36,56.7,40.5,Redrawn,,47.7,13.3,33.8,3.7,0.3,1.3,51.1,11.6,31.9,3.6,0.2,1.6,92.3,39.4,41.5,64827.00
FL-24,82.9,15.4,85.7,13.9,84,15.6,100,0,100,0,Redrawn,,14.1,49.8,34.1,1.3,0.1,0.6,13.9,45.9,36.9,1.5,0.1,1.5,78.5,20.1,37.8,39943.00
FL-25,47.9,49.7,44.9,54.5,40.6,58.8,39.5,60.5,37.6,62.4,Redrawn,,26.3,3.9,68.3,1,0.2,0.3,20,3.6,74.9,1,0.1,0.4,78.2,24.3,36.1,49970.00
FL-26,56.8,40.5,55.4,43.9,51.5,47.9,50.9,49.1,41.2,53,Redrawn,,20.5,11.1,66,1.7,0.1,0.6,18.9,10,68.3,1.7,0.1,1,82.4,26.4,35.2,56696.00
FL-27,58.5,38.9,53,46.3,50.1,49.3,51.8,45.8,45.1,54.9,Redrawn,,25.4,4.9,67.2,1.8,0.1,0.6,24,4,69.1,1.9,0.1,0.9,85.6,39.4,63.7,55451.00
GA-01,40.9,56.4,43,55.9,44.4,55,42.3,57.7,0,100,39.1,60.9,63.4,29.3,4.1,1.4,0.3,1.4,63.7,28.1,4.9,1.8,0.3,1.3,87.8,25.5,29.4,51484.00
GA-02,55,43.3,58.6,40.8,57.9,41.6,59.6,40.4,61.2,38.8,59.2,40.8,43.8,51.3,2.7,1,0.2,1.1,45,48.6,4,1.1,0.3,0.9,82.1,17.8,23,38051.00
GA-03,32.8,64.3,33,65.9,34,65.3,34.5,65.5,31.7,68.3,0,100,69.7,24,3.4,1.3,0.2,1.3,71,21.7,4.3,1.6,0.3,1,87.1,26.5,28.6,57657.00
GA-04,75.3,22.2,73.6,25.6,73.2,26.3,78.8,21.2,75.7,24.3,100,0,28.9,62.3,3.9,3.3,0.2,1.4,31.1,54.7,8,4.5,0.2,1.5,87.6,31.1,39.7,54824.00
GA-05,85,11.9,83.1,15.8,84.4,15,100,0,84.4,15.6,100,0,32.8,59,3.3,3,0.2,1.6,31.4,56,6.9,4,0.2,1.5,88.5,41.6,72,51005.00
GA-06,46.8,48.3,37.5,60.8,40.1,59,50.5,49.5,38.3,61.7,34,66,71,14.2,5.5,7.4,0.3,1.6,64.9,12.1,12,9.2,0.1,1.7,93.7,61.1,66.8,90875.00
GA-07,44.8,51.1,38.3,60.2,39.1,60.1,49.9,50.1,39.6,60.4,34.6,65.4,56.1,21.4,9.6,11.1,0.2,1.5,52.9,16.7,16.9,11.8,0.2,1.5,88.9,41.3,47.5,74060.00
GA-08,34.4,63.3,37.5,61.6,37.8,61.6,0,100,32.4,67.6,0,100,64.1,30.6,3.1,1,0.2,1,64.6,28,4.9,1.4,0.3,0.9,84.3,21.4,24.3,45339.00
GA-09,19.3,77.8,20.5,78.1,24.3,74.7,20.5,79.5,0,100,19.3,80.7,86,6.8,4.8,1,0.2,1.2,82.6,6.3,9,1.1,0.2,0.8,82.2,22.8,25.3,53505.00
GA-10,35.8,61.3,36.3,62.5,38.8,60.4,37.1,62.9,0,100,33.5,66.5,68.8,24.9,3.2,1.6,0.1,1.2,69.2,23.6,4,2,0.2,1,86.3,26,29.9,54034.00
GA-11,35.3,60.3,31.5,66.9,34.7,64.3,38.2,61.8,32.6,67.4,0,100,74.1,16.4,5.6,2.3,0.1,1.4,71.5,14.6,9.4,2.8,0.2,1.4,90.7,41.3,43.7,73492.00
GA-12,40.7,56.9,43.6,55.4,43.9,55.6,40.5,59.5,38.4,61.6,45.2,54.8,59.1,34.5,3.7,1.3,0.2,1.1,60,32.5,4.5,1.7,0.2,1.1,83.8,21.1,24.5,44547.00
GA-13,71,26.6,69.2,30,67.1,32.3,76.2,23.8,100,0,100,0,30.7,59.8,5.5,2.3,0.1,1.6,34.7,52.4,8.6,2.6,0.2,1.4,88.6,28.9,27.1,57839.00
GA-14,22.1,75,25.3,73.2,27.8,71,23.5,76.5,0,100,0,100,84,8.9,5,0.8,0.2,1.2,82,7.8,8.1,0.9,0.2,0.9,80.6,17.7,18.3,50353.00
HI-01,63.1,30.5,69.7,29,70.3,28.3,73.1,23.1,71.9,22.7,51.9,48.1,18.6,2.3,7.5,55.9,0.1,15.6,18.3,1.8,5.7,61,0.2,13.1,91.1,35.4,50,81842.00
HI-02,61.4,29.6,71.4,26.7,73.4,24.9,77.4,22.6,81.2,18.8,78.7,18.6,33.3,1.7,9.4,35.9,0.2,19.5,33,1.2,8.7,38,0.3,18.8,92.6,29.4,43.4,74621.00
ID-01,25.4,63.7,32.2,64.9,35.1,62.5,30.8,62.8,31.8,68.2,35,65,88.7,0.4,7,1.1,1.2,1.6,87.9,0.4,7.9,1.2,1.2,1.4,90.7,25.2,26.5,53779.00
ID-02,29.8,54.5,33.1,64.1,37.1,60.5,39.3,60.7,29.4,62.9,38.6,61.4,87.3,0.7,8.4,1.1,1.1,1.5,85.4,0.6,10.1,1.6,1.1,1.2,90.4,28.9,31.4,52323.00
IL-01,75.4,21.4,78.9,20.2,80.9,18.6,73.5,19.8,74.1,25.9,73.1,26.9,37.5,53.1,6.9,1.3,0.1,1.1,37.4,52.1,7.4,2,0.1,1,89.3,28.5,36.8,52946.00
IL-02,78,19.1,80.7,18.5,81.1,18.3,81.1,18.9,79.8,20.2,78.5,21.4,31.5,57.7,9.1,0.6,0.1,1,33.4,53.5,11.1,0.7,0.2,1.1,87.9,22.6,25.4,49393.00
IL-03,55.2,39.9,55.9,42.6,58.4,40.5,73,25.9,100,0,64.6,35.4,66.5,5.5,23.5,3.7,0.1,0.7,66.4,4.6,24.4,3.7,0.1,0.8,85.8,27.7,32.8,66819.00
IL-04,82.1,13.2,80.9,17.1,80.5,18.2,86.6,13.4,100,0,78.1,21.9,33.1,4.7,56.7,4.2,0.2,1.1,26.2,3.9,65.8,3.1,0.1,0.8,72.7,24.1,49.9,52265.00
IL-05,70.5,23.9,66,31.8,69.9,28.8,76.7,23.3,67.8,27.5,63.2,30.6,73.6,3,15.3,6.5,0.1,1.6,73.3,2.5,16.1,6.7,0.1,1.3,91.9,54.5,60.5,82907.00
IL-06,50.2,43.2,45.1,53.3,51.3,47.3,53.6,46.4,40.8,59.2,32.9,67.1,82.3,2.5,6.4,7.7,0.1,0.9,81.6,2.3,7.4,7.7,0.1,0.9,94.8,52.3,53.6,100088.00
IL-07,87.4,9.2,87.2,11.8,89.4,9.9,87.6,12.4,84.2,15.8,85.1,14.9,33.3,49.4,10.5,5.5,0.1,1.2,30.4,50,11.5,6.7,0.1,1.3,86.2,41.8,75,56880.00
IL-08,58.1,36.4,57.4,40.9,61.5,37.1,66,34,58.3,41.7,55.7,44.3,65.7,4.8,16.9,11.3,0.1,1.1,60.6,4,22.1,12,0.1,1.1,85.9,33.6,35.6,70952.00
IL-09,70.1,24.9,65,33.3,68.6,30.3,73.5,26.5,66.5,33.5,66.1,33.9,71,8.5,8.2,10.5,0.1,1.7,68,8.5,9.6,12.1,0.1,1.7,91.6,53.7,59.5,72003.00
IL-10,62,32.6,57.5,41.1,63,35.9,65.6,34.4,52.6,47.4,48.7,51.3,69.5,7.3,13.3,8.4,0.2,1.4,64.9,6.3,18.1,9.3,0.1,1.3,89.4,45.1,52.5,81290.00
IL-11,58.9,35.4,57.8,40.6,61.8,37.7,63.8,36.2,60.4,39.6,53.5,46.5,62.7,12.4,17.2,6.2,0.1,1.4,59.8,10.4,21.8,6.8,0.1,1,86.6,35.2,41.5,75202.00
IL-12,40.2,55,49.7,48.1,54.7,43.6,45.4,51.6,39.7,54.3,41.9,52.5,79.4,16.1,2.3,0.8,0.2,1.2,79.7,15.5,2.4,1.1,0.2,1,89.5,22.8,24,49322.00
IL-13,44.2,49.7,48.6,48.9,54.6,43.6,49.6,50.4,40.3,59.7,41.3,58.7,83.4,10.3,2.5,2,0.2,1.6,83.5,9.1,2.5,3.5,0.2,1.2,91.9,30.4,30.2,51647.00
IL-14,44.8,48.7,44.2,54.2,50,47.6,52.5,47.5,40.7,59.3,34.6,65.4,84.3,3,8.1,3.6,0.1,0.9,83.5,2.4,9.4,3.8,0.1,0.8,93.6,40.8,42,93276.00
IL-15,24.5,70.7,34.1,63.9,42.8,55.4,29.1,70.9,0,100,25.1,74.9,92.5,4.2,1.8,0.5,0.2,0.8,92.8,3.9,1.9,0.5,0.2,0.7,89.5,19.6,20,52661.00
IL-16,38.3,55.5,45.2,52.9,50.1,48.2,40.9,59.1,0,99.9,29.4,70.6,88.2,3.6,5.9,1.1,0.2,1.1,88,3.2,6.5,1.4,0.2,0.7,90.5,22.4,22.9,60203.00
IL-17,46.7,47.4,57.6,40.6,60,38.5,62.1,37.9,60.3,39.7,55.5,44.5,81.9,10.3,5.6,0.7,0.2,1.2,81.7,9.6,6.4,1,0.2,1.1,87.9,19.1,20.6,48304.00
IL-18,33.3,60.6,37.4,60.7,44.1,54.4,32.8,67.2,27.9,72.1,25.3,74.7,92.1,3.6,1.9,1.3,0.2,0.9,91.7,3.4,1.9,2,0.2,0.8,93.7,32.6,32,64372.00
IN-01,54.1,41.5,61.2,37.4,63.3,35.8,65.1,34.9,81.5,0,60.8,35.8,67.6,18,12.1,1,0.2,1.1,67.8,18.2,11.7,1.2,0.2,0.9,89.2,23.1,26.1,56590.00
IN-02,36.1,59.3,42.1,56.1,49.6,49.3,45.2,54.8,36.9,59.3,38.3,58.9,86.3,6.3,4.9,0.9,0.3,1.3,85.2,6,6.3,1.1,0.3,1,85.7,21.8,23.1,52651.00
IN-03,30.1,65.1,35.7,62.5,43,56,35.3,64.7,23,70.1,26.7,65.8,88.2,5.6,3.4,1.2,0.2,1.4,87.8,5.4,4.2,1.4,0.3,0.9,87.7,23,23.9,54265.00
IN-04,30.2,64.3,36.9,60.9,44.6,54.2,35.9,64.1,30.5,64.6,33.1,66.9,90.8,3.7,2.9,1.4,0.3,1,89.5,2.9,4.1,2.4,0.2,0.9,90.1,26.3,26.2,57622.00
IN-05,41.3,53.1,40.7,57.5,46.6,52.6,43.2,56.8,34.3,61.5,30.8,65.2,85.5,8.2,2.6,2.2,0.1,1.3,85,7.8,3.4,2.6,0.2,1,93.5,45.4,46.3,69954.00
IN-06,27.4,67.7,37.3,60.4,43.6,55,32.9,63.8,26.7,69.1,29.3,65.9,94.3,2.6,1.5,0.6,0.2,0.9,93.9,2.4,1.8,0.9,0.2,0.8,89,21.2,20.5,52883.00
IN-07,59,36.2,62.9,35.3,66.3,32.8,64.9,35.1,60,35.7,54.7,41.8,62.5,29.7,4.2,1.4,0.2,1.9,61.5,26.7,8.1,1.9,0.3,1.4,83.1,23.5,28.2,42628.00
IN-08,30.9,64.6,39.6,58.4,48.1,50.6,35.6,64.4,31.7,63.7,35.8,60.3,92.7,4,1.2,0.7,0.1,1.2,92.7,3.9,1.6,0.8,0.2,0.8,88.8,20.9,21.1,50952.00
IN-09,34.2,61.1,40.7,57.2,46.2,52.7,43.5,56.5,40.5,54.1,33.7,62.2,92.7,2.7,1.9,1.2,0.2,1.2,92.1,2.4,2.3,1.9,0.2,1,89.6,26.5,26,55768.00
IA-01,45.2,48.7,56.2,42.5,58.5,40.4,51,45.9,46.1,53.7,48.8,51.1,92.6,3.1,2.1,1,0.3,0.9,92.6,2.7,2.5,1.1,0.3,0.7,92.5,26.7,27.1,58994.00
IA-02,45,49.1,55.8,42.7,57.1,41.6,54.8,42.6,53.7,46.2,52.5,47.4,90.5,3.2,3.6,1.2,0.2,1.2,90.3,2.8,3.8,2,0.2,0.9,92.1,28.2,28.4,54964.00
IA-03,45,48.5,51.4,47.2,52.4,46.3,49.3,47.1,39.7,53.4,42.2,52.8,89.8,3.4,3.6,1.8,0.2,1.2,88.6,3.3,4.7,2.3,0.2,0.9,91.9,32.9,34.5,64818.00
IA-04,33.5,60.9,45.3,53.4,48.5,50.2,47,50.3,38.6,61.2,38.3,61.6,92.9,1.3,3.4,1.1,0.5,0.8,92.1,1,4.3,1.6,0.3,0.6,91.5,24.5,25,54944.00
KS-01,24.3,69.3,27.6,70.1,31,67.2,31.9,68.1,0,65.9,32,68,84.9,3,8.9,1.1,0.6,1.5,83,2.7,11.1,1.6,0.4,1.1,88.2,24.7,27.3,50947.00
KS-02,37.4,55.8,42.2,55.4,45.3,52.8,46.8,47.6,32.6,60.9,38.6,57,86.3,4.5,4.6,0.9,1.2,2.4,86.5,4.5,4.4,1.4,1.5,1.8,92.2,29,30,53367.00
KS-03,47.2,46,44.3,53.8,48.8,49.9,53.6,43.9,40.6,51.3,39.9,60,80.8,8.3,5.9,3,0.3,1.8,76.8,8.4,9.4,3.7,0.4,1.4,92.4,47.2,52.5,74412.00
KS-04,33,60.2,36.1,61.6,39.5,58.6,40.7,59.3,29.6,60.7,33.3,66.7,80.6,6.4,7.4,2.6,0.8,2.1,79.3,6.4,8.6,3.1,0.9,1.7,89.9,29.2,31.7,54768.00
KY-01,23.9,72.4,32.1,66.4,36.9,61.6,31.4,68.6,27.3,72.6,26.9,73.1,89.9,6.8,1.7,0.4,0.2,0.9,89.9,6.5,2,0.5,0.2,0,84.3,16.6,16.9,42114.00
KY-02,27.6,67.5,35.1,63.3,37.2,61.5,31.1,66.7,0,100,30.8,69.2,90.4,5.3,1.8,0.8,0.3,1.4,90.3,5.2,2.3,1.1,0.3,0,86.6,20.2,20.3,50611.00
KY-03,54.9,39.9,55.7,42.8,56.2,42.8,62.1,36.6,63.5,36.5,63.5,35.6,73.7,20.6,2.4,1.7,0.2,1.5,73.5,19.2,3.8,2.1,0.2,0.1,89.8,31.9,35.6,53348.00
KY-04,29.3,65.2,34.8,63.4,37,61.5,34.6,62.2,28.7,71.3,32.3,67.7,93.1,3.3,1.6,0.7,0.1,1.2,92.5,3.1,2.3,1,0.2,0.1,89.2,27.8,28,61835.00
KY-05,17.5,79.6,23.2,75,31.6,66.6,21,78.9,0,100,21.7,78.3,96.6,1.5,0.7,0.2,0.3,0.7,96.5,1.4,0.9,0.3,0.2,0,76.1,13,13,32884.00
KY-06,39.4,54.7,42.2,55.8,44.8,53.7,47.8,51,38.9,61.1,40,60,87.3,8.3,1.7,1,0.2,1.5,85.3,8.1,3.7,1.7,0.2,0.1,87.6,31.3,32.3,52340.00
LA-01,26.7,68.7,26.9,70.9,25.3,72.7,26.6,71.5,19.5,74.6,18.9,77.6,77.3,13.3,5.4,1.7,1.1,1.3,76.6,11.7,7.3,2,1.2,1.2,87.6,30.5,33.5,59050.00
LA-02,74.6,22.2,75.8,22.8,73.4,25.4,80.6,0,100,0,85.8,0,31.7,61.4,3.7,1.9,0.2,1.1,31.8,58.5,5.8,2.6,0.3,1.1,82.4,23.3,36.3,39372.00
LA-03,29.2,67.3,32.3,66.1,34.1,64.2,30.4,68.4,17.5,80.7,0,88,71.6,23.8,2.2,1,0.4,1.1,71.5,22.8,2.8,1.3,0.4,1.1,83.8,21.3,24.4,48996.00
LA-04,36.6,60.6,39.7,59,39.9,58.9,33.6,64.2,28.2,69.8,0,73.4,61.5,33.2,2.6,0.8,0.8,1.1,62.2,32.1,2.8,1,0.8,1.2,85.1,19.7,22.8,41366.00
LA-05,34.1,63.5,37.7,61,36.7,62,30,66.5,0,100,35.8,64.2,62.8,34.1,1.4,0.5,0.4,0.8,63,33.2,1.9,0.7,0.4,0.8,81.4,17.7,20.9,38462.00
LA-06,31,64.8,32,66.1,30.9,67.5,28.6,69.5,23.9,72.8,37.6,62.4,71.8,22.7,2.4,1.5,0.4,1.1,71.9,21.1,3.6,2,0.4,0.9,88.4,29.2,31.3,62778.00
ME-01,54.1,39.3,59.6,38.2,60.7,37.5,58.8,32.5,58,41.9,60.4,30.7,95,0.8,1.4,1.1,0.3,1.3,95.1,1,1.2,1.3,0.3,1.1,93.8,37.8,38.1,63935.00
ME-02,41.1,51.4,53,44.4,54.6,43.4,50.6,49.4,45.2,54.8,41.8,47,95.8,0.5,1,0.4,0.8,1.5,96,0.7,0.8,0.6,0.8,1,90.7,23.7,23.7,48215.00
MD-01,33.4,62,37.7,60.4,38.4,59.6,38.1,60,28.6,67,29.5,70.4,83.5,11.5,2.1,1.7,0.2,1.2,83.2,11.1,2.8,1.8,0.2,1,90.4,31.2,32.6,73980.00
MD-02,60.1,35.7,63.1,35,60.6,37.5,66,30.7,62.1,33.1,61.3,35.9,57.2,32.9,3.8,3.9,0.2,1.9,58.8,29.9,4.7,4.6,0.3,1.7,89.1,32.2,32.3,69242.00
MD-03,62.8,32.3,60.7,37.1,60.1,38,69.1,28.3,63.2,33.9,59.5,40.3,66.2,20.8,4.9,5.9,0.2,1.9,66.2,18.7,6.8,6.4,0.2,1.7,91.6,48.1,52.8,88161.00
MD-04,77.2,19.7,78.1,20.8,77.3,21.8,78.1,19.9,74.1,21.4,70.2,28.3,30.9,58,6.4,2.8,0.2,1.7,28.8,53.6,12.5,3.3,0.2,1.6,87.1,33.7,48.3,82585.00
MD-05,64.1,32.1,66.1,32.4,65.1,33.6,70.3,27.1,67.4,29.4,64,35.7,49.9,39.3,4.6,3.4,0.3,2.5,52,35.3,6.3,4.1,0.4,1.9,91.4,35.2,36.9,98488.00
MD-06,55.3,40.2,55.2,42.8,56.3,42,59,38,56,40.1,49.7,48.2,68.1,12.8,8.1,9,0.2,1.9,66.4,11.8,10.1,10,0.2,1.7,90.3,42.1,42,79984.00
MD-07,75.8,20.2,76.2,22.3,76.2,22.4,76.4,21.3,74.9,21.8,69.9,27,36.6,54,2.4,5,0.3,1.7,36.1,53.4,2.9,5.8,0.2,1.6,88.7,38.3,58.8,62550.00
MD-08,65,30.6,62,36,62.8,35.6,68.2,30.2,60.6,34.2,60.7,39,69.6,11.7,8.4,8.3,0.2,1.8,65.5,11.4,12.4,8.8,0.2,1.7,91.6,55.3,61.2,103768.00
MA-01,57.2,36.5,64,34.3,64.1,33.7,97.6,0,73.3,0,98,0,77.6,5.1,14.5,1.5,0.1,1.1,79.8,5.2,12,1.7,0.2,1.2,87.8,29.8,33.3,56757.00
MA-02,56.2,36.8,58.7,39.2,60.2,37.3,67.2,32.8,98.2,0,98.2,0,83.8,3.6,7.6,3.6,0.2,1.2,83.4,3.5,6.9,4.4,0.2,1.6,91.1,38.6,39.9,68685.00
MA-03,58.2,35.4,56.9,41.4,58.8,39.4,62,33.5,68.7,31.2,63,36.9,75.6,2.5,14.5,6.2,0.1,1.1,75.2,2.6,14,6.4,0.1,1.7,88.4,37.7,42,77597.00
MA-04,59.2,35,57.2,41.3,60.7,38.1,97.7,0,70.1,29.8,97.9,0,88.3,2.5,3.7,4.3,0,1.2,88.2,2.1,3,5,0.1,1.5,93.2,50.9,50.4,99343.00
MA-05,69.3,25.7,65.2,33.1,66.2,32.1,75.9,24,98.6,0,98.3,0,80.5,4.2,6.2,7.5,0.1,1.5,77.1,4.5,6.5,9,0.1,2.8,93.5,57.3,59.1,94843.00
MA-06,56.1,38.2,54.7,43.9,56.9,41.4,65.2,31.4,98.4,0,55,41.1,87.9,2.4,5.6,3.1,0.1,0.9,87.1,2.3,6,3.4,0.1,1.1,92.6,44.4,46.3,87696.00
MA-07,84.1,11.9,82.5,15.6,81.9,16.7,98.3,0,98.6,0,98.3,0,51.5,23.2,15.1,8,0.2,2,48.8,20.5,16.7,9.8,0.2,4,84.8,44.3,64.4,63501.00
MA-08,60.4,34.4,57.8,40.8,57.9,40.5,98.4,0,72.4,27.5,98.7,0,80.1,8.2,4.5,5.8,0.2,1.2,79,6.9,4.3,6.5,0.2,3.2,92.2,46.9,49.9,88174.00
MA-09,52.5,41.8,55.5,43.1,57.8,40.6,59.4,40.6,55.7,33.6,54.9,45,91.3,2.5,3.5,1.1,0.2,1.4,90.2,2.1,3.4,1,0.3,2.9,90.2,35.1,36.8,70248.00
MI-01,36.6,57.9,45.3,53.6,49.7,48.4,43.7,56.3,40.1,54.9,45.3,52.1,92.7,1.6,1.3,0.4,2.2,1.8,93.2,1.5,1.1,0.5,2.4,1.2,92.4,25.4,26.2,49063.00
MI-02,38.2,55.8,43.1,56,48,50.3,43,55.3,32.5,62.6,33.3,63.6,84.8,5.9,5.7,1.6,0.5,1.6,84.1,5.9,6.4,2,0.5,1.1,90.2,26,28,55642.00
MI-03,42.2,51.6,45.8,53.1,49.7,48.6,43.2,54.4,37.5,59.5,39,57.9,85.1,7.8,4,1.2,0.3,1.6,83.7,7.8,5.5,1.4,0.4,1.2,91.2,31.3,33.4,58815.00
MI-04,34.7,59.5,45.5,53.5,49.6,48.6,37.4,62.6,32.1,61.6,39.1,56.5,93.2,1.9,2.5,0.5,0.6,1.2,93.5,1.9,2.1,0.9,0.7,0.9,90.9,21.6,21.5,50279.00
MI-05,49.7,45.5,60.7,38.3,63,35.3,59.5,35.9,61.2,35.1,66.7,31.2,77.2,16.1,3.9,0.7,0.3,1.7,77.7,16.1,3.6,0.8,0.4,1.3,89.6,19.6,20.9,45375.00
MI-06,42.9,51.3,48.8,50.2,53.1,45.2,45.7,50.2,36.4,58.6,40.4,55.9,85.6,7.5,3.6,1,0.3,2,85.1,7.6,4.1,1.3,0.5,1.4,90.5,28,28.9,53400.00
MI-07,38.7,55.7,47.9,51,50.8,47.4,46.2,53.8,40,55.1,41.2,53.5,90.3,4.1,3.3,0.6,0.3,1.3,90.6,4.1,3.1,0.9,0.3,1.1,91.8,24.2,24.5,59123.00
MI-08,43.9,50.6,48,51.1,52,46.4,50.6,46.8,39.2,56,42.1,54.6,86.5,5.2,3.8,2.6,0.2,1.7,85.7,5.2,3.7,3.7,0.4,1.3,94.5,40.5,40.2,70437.00
MI-09,51.5,43.7,57.2,41.9,58.1,40.1,59.7,36.8,57.9,37.4,60.4,36.1,80.4,12.7,1.9,3.2,0.3,1.5,83.6,9.7,1.7,3.3,0.3,1.5,89.8,30.1,30.7,57774.00
MI-10,31.6,63.8,43.7,55.3,48,50,35,60.3,32.3,63.1,29.4,68.7,92.2,2.9,2.2,1.3,0.2,1.2,92.7,2.5,2.3,1.3,0.3,0.9,91.1,23.4,23.1,63571.00
MI-11,45.3,49.7,46.9,52.3,50.1,48.2,51.8,45.2,40.2,52.9,40.5,55.9,85.2,5.3,2.1,5.7,0.2,1.4,84.3,4.8,2.6,7,0.2,1.2,94.8,47.4,45,83052.00
MI-12,60.8,34.5,66.2,32.8,66.9,31.4,68.1,28.9,64.3,29.3,65,31.3,79.1,10.4,4.5,3.6,0.2,2.2,78.8,9.7,4.4,4.9,0.4,1.8,90.1,34.7,33.9,58454.00
MI-13,78.8,18.1,85.2,14.3,84.8,14.2,84.2,0,77.1,15.7,79.5,16.3,37,56.2,4,0.9,0.4,1.5,37.4,53.8,5.6,1.2,0.3,1.7,82.2,15.4,18.6,34693.00
MI-14,79.2,18.3,81,18.6,82.2,17.1,80.9,17.3,78.5,18.7,77.8,19.7,33.4,58.4,2.9,3,0.2,2,33.6,57.3,3.5,3.7,0.2,1.7,87,30.9,47.5,45921.00
MN-01,38.4,53.3,49.6,48.2,50.8,46.7,49.7,50.1,50.3,49.6,54.2,45.7,92.1,2.1,3,1.7,0.3,0.8,90.9,1.9,4.2,2.1,0.2,0.7,91.9,28.5,29.4,61735.00
MN-02,45.3,46.5,49.1,49,50.5,47.6,52.7,47.1,45.2,47,38.9,56,87.6,3.6,3.3,3.7,0.4,1.4,87.1,3,4.3,4,0.4,1.1,94.8,38.9,40.4,83585.00
MN-03,50.8,41.4,49.6,48.8,51,47.4,55.6,44.2,43,56.7,37.8,62.1,86,5.2,2.1,5.1,0.2,1.4,84.3,5.4,3,5.8,0.3,1.2,95.5,49.3,51.5,88852.00
