district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
MN-04,61.5,30.6,62.5,35.5,62.6,35.5,66,29.7,57.8,34.4,61.2,32.9,77,8.1,4,8.2,0.5,2.1,76.3,7.9,5.1,8.5,0.6,1.6,91.5,43.4,49.1,68928.00
MN-05,73.7,18.5,73.5,24,73.4,24.5,78,21.7,69.1,22.3,70.8,24,74.8,13.4,3.7,4.4,1,2.7,71,12.9,7.5,5.3,1.1,2.2,90.9,45.8,54.5,61851.00
MN-06,33.2,58.9,41.5,56.5,43.2,54.7,38.7,61.1,34.3,65.6,38.4,56.3,92.9,1.9,1.7,1.9,0.4,1.2,92.9,1.8,1.8,2.2,0.4,0.9,94.5,30.2,30.5,79860.00
MN-07,31,61.8,44.1,53.9,47.1,50.4,52.1,47.8,52.5,47.4,54.2,45.7,92.8,0.8,2.4,0.5,2.3,1.1,92.9,0.6,2.7,0.7,2.2,0.8,91.5,22.1,22.9,57094.00
MN-08,38.6,54.2,51.7,46.2,53.1,44.5,45.2,50.7,50.2,49.6,48.5,47.1,93.7,0.9,1.2,0.6,2.2,1.4,94.3,0.8,1,0.6,2.3,1.1,93,23.3,23.7,55943.00
MS-01,32.4,65.4,37,61.9,36.6,62.4,32.4,66.9,27.9,68.7,28.9,67.9,70,27.1,1.6,0.5,0.2,0.7,71.5,24.5,2.5,0.7,0.2,0.6,83.3,20.5,23,46694.00
MS-02,63.6,35.1,66.4,33,64.2,35.2,71.8,0,67.1,29.1,67.7,0,33.5,64.3,1.2,0.3,0.3,0.4,35.7,61.1,1.8,0.5,0.3,0.5,80.5,19.1,25.4,35601.00
MS-03,36.8,61.3,39.1,60,38.4,60.8,36.7,62.3,30.4,66.2,27.9,68.9,62.2,34.7,1.1,0.7,0.8,0.5,63.3,32.3,2.2,0.9,0.8,0.6,85.6,26,31,46349.00
MS-04,28.2,69.4,31.2,67.6,31.1,67.9,30.7,68.2,27.8,65,24.3,69.9,72.3,22.5,2.5,1.1,0.4,1.1,72.9,20.9,3.4,1.5,0.4,1,86,21.5,23.5,46127.00
MO-01,77,18.8,79.9,18.9,80.3,18.6,80.1,16.7,75.5,20,73,21.6,46.2,48.2,2,1.8,0.2,1.7,47.3,45.5,2.7,2.8,0.2,1.5,88.7,31.9,43.8,45385.00
MO-02,42.3,52.6,41.4,57.1,46.4,52.6,47.2,51.2,37.7,58.5,32.6,64.1,90.6,3.7,1.6,3,0.1,1,90.2,3.1,2,3.7,0.1,0.9,95.1,48.8,48.4,82172.00
MO-03,28.1,67.1,36.1,62,42.8,55.8,32.8,65.1,27.9,67.8,27.1,68.3,93,3.2,1.6,0.6,0.3,1.2,93.2,3.1,1.7,0.9,0.3,0.9,90.4,26,25.8,63382.00
MO-04,29.3,65.3,36.4,61.2,41.9,56.5,32.7,64.8,27.8,67.8,26.4,68.1,89.4,4.6,2.7,1,0.5,1.7,89.7,4.3,2.6,1.5,0.5,1.4,89.1,25.1,25,50178.00
MO-05,54.1,40.6,58.9,39.4,62,36.8,61.7,35.6,58.8,38.2,51.6,45,70.2,21.1,5.1,1.5,0.4,1.7,69,20.2,6.8,1.8,0.4,1.6,89.5,27.9,32.3,50328.00
MO-06,31.7,63.1,37.9,60,43.1,55.3,32,65.4,28.4,68,29.5,66.7,90.5,4.1,2.9,0.9,0.4,1.3,91.2,3.6,2.7,1.2,0.3,1,91.2,27.9,28.2,59931.00
MO-07,24.7,70.4,30.3,67.6,35.3,63.1,30.1,66.2,27.4,67.5,28.8,63.5,92,1.7,2.6,0.9,0.9,1.8,91.5,1.5,3.3,1.2,0.9,1.5,88.6,24.1,24.5,46211.00
MO-08,21,75.4,32,65.9,38.3,60,25,73.4,22.7,74.4,24.3,66.7,92.3,4.3,1.4,0.3,0.5,1.2,92.6,4.1,1.3,0.6,0.4,1,83.3,16.1,16.3,41701.00
MT-AL,35.9,56.5,41.7,55.4,47.2,49.6,46.2,50.9,40.5,56.2,40.4,55.4,89.1,0.4,2.8,0.6,5.2,1.8,90,0.3,2.3,0.7,5.1,1.6,93.2,31.2,32.5,52559.00
NE-01,36.2,57.5,40.8,57.5,44,54.1,39.6,60.4,30.5,69.5,31.2,68.8,88.6,2.6,4.9,1.7,0.9,1.3,87.9,2.3,5.8,2.1,0.9,1,92.2,31.5,32.9,59534.00
NE-02,46,48.2,45.7,52.8,49.8,48.6,49,51,47.7,48.9,49,45.7,81.6,9.1,5.8,1.6,0.4,1.6,78.3,9.2,8.2,2.5,0.4,1.3,91.1,39.8,44.3,65816.00
NE-03,20,74.9,27.8,70.2,31,66.9,23.3,76.7,0,100,24.6,75.4,90.4,0.9,6.4,0.5,0.7,0.9,89.7,0.7,7.6,0.7,0.7,0.6,89.9,22.2,23.7,53115.00
NV-01,61.6,32.6,65.6,32.4,64.5,33,66.2,30.9,61.9,28.8,56.8,37.9,45,13.2,29.1,9.3,0.7,2.7,42.3,9.5,36.5,9,0.5,2.2,77.2,15.4,21.5,40489.00
NV-02,39.7,52,44.8,52.9,49.4,48.2,41.8,58.2,36.9,58.3,27.9,65.7,76.1,1.9,14.1,3.8,2.1,1.9,73.8,1.7,16.6,4.3,1.8,1.8,88.3,26.6,30.4,61259.00
NV-03,46.5,47.5,49.5,48.7,53.5,44.6,51.9,42.8,47.2,46,36.1,60.8,62.8,6.9,14,12.7,0.4,3.2,64.4,5.9,13.5,13.1,0.4,2.7,92.8,32.4,34.2,70660.00
NV-04,49.5,44.6,54.4,43.7,56.4,41.4,51.9,43.7,48.5,44.5,45.8,48.5,55,15.7,19.1,6.4,0.9,2.9,54.7,13.2,23,6,0.8,2.3,85.4,21,25.7,58618.00
NH-01,46.6,48.2,50.2,48.6,52.8,46.4,53.6,45,45.8,44.4,48.1,51.7,93.7,1.1,2.4,1.4,0.1,1.3,93.7,1,2.2,1.9,0.2,1,93,37.2,37.2,75028.00
NH-02,48.6,46.2,54.2,44.5,56,43.1,55.5,42.2,49.8,45.4,54.9,44.9,93.3,1,2.7,1.6,0.2,1.2,93.5,0.8,2.2,2.2,0.2,1.1,92.8,35.8,35.5,73039.00
NJ-01,60.6,36.1,65.1,33.8,64.7,34.2,64.4,33.3,60,36.8,57.4,39.4,68.4,16.5,9.6,4.1,0.1,1.3,68.9,15.4,9.9,4.5,0.2,1.2,89.8,31.3,34,70270.00
NJ-02,46,50.6,53.5,45.4,53.2,45.5,52.9,45.2,37.2,59.2,37.3,61.5,73,11.9,10.3,3,0.3,1.4,71,11.8,12.2,3.5,0.3,1.2,86.9,26.1,30.5,63862.00
NJ-03,45.2,51.4,51.8,47.2,51.1,47.7,50,48.7,38.9,59.3,44.4,54,79.4,10.1,5.9,2.8,0,1.7,80,9.8,5.6,3.2,0.1,1.4,93.1,33.9,34.5,79880.00
NJ-04,41,55.8,44.7,54.2,45.3,53.6,43.1,55.4,33.5,63.7,31.1,68,82.7,6.2,6.5,3.7,0,0.8,80.5,6.2,8.5,3.8,0.1,0.9,92.4,40.3,42.7,83372.00
NJ-05,47.7,48.8,47.9,50.9,48.5,50.5,56.2,42.5,51.1,46.7,43.3,55.4,75.5,4.6,10.9,8,0.2,0.8,75.4,4.4,10.1,8.8,0.1,1.1,93.5,47.3,47.4,102923.00
NJ-06,56.2,40.6,61.4,37.4,58.4,40.5,63.6,36.4,63.7,34.9,59.9,38.9,57.9,10.9,16.1,14,0.1,1,55.2,9,17.6,16.5,0.1,1.7,88.9,39.4,38.7,82747.00
NJ-07,48.6,47.5,46.3,52.5,47.2,51.6,51.7,46.7,43.1,54.1,38.8,59.3,78.4,4.8,8.2,7.6,0.1,0.9,77.4,3.9,10,7.8,0.1,0.9,94.3,53.2,54.5,113685.00
NJ-08,75.7,21.5,78.3,20.8,73.2,26,78.1,18.7,77,18.5,77.4,19,34.6,10.4,47.3,6.5,0.1,1.1,30.4,8.6,50.3,8.6,0.1,2,79.5,32.8,50.5,59973.00
NJ-09,64.3,33.1,68.4,30.8,64,35.2,70.3,28.9,69.7,28,68.5,30.1,46.6,10.9,30.9,10.6,0.1,1,45.6,9.5,31.2,12.2,0.1,1.4,85.5,33.6,39.2,67471.00
NJ-10,85.2,12.8,87.9,11.5,84.9,14.6,87.6,10.1,85.7,11.9,85.4,12.6,23,54,16,5.7,0.2,1.1,23.8,50.1,16.8,6.9,0.2,2.3,86,29.2,46.3,52967.00
NJ-11,47.9,48.8,46.6,52.4,47,52.1,56.8,42.1,38.9,58,37.4,62.6,79.2,3.6,8.6,7.6,0.1,0.9,79,3.4,8,8.5,0.1,1.1,94.8,54.1,54.4,111802.00
NJ-12,65,31.8,66.5,32.4,65.7,33.3,68.7,31.3,62.9,32,61,36.5,57.4,18.3,11,12.2,0.1,1,53.9,16.7,14.3,13.5,0.1,1.5,89.9,45.2,48.8,86660.00
NM-01,51.6,35.1,55.3,39.6,59.7,39,59.1,36.3,65.1,34.9,58.6,41.4,46.9,2.5,43.2,1.9,4,1.4,46.9,2.4,43.5,2.2,3.5,1.5,88.2,33,47.2,50680.00
NM-02,39.9,50.1,44.9,51.7,48.4,50.2,50.9,49.1,37.2,62.7,35.5,64.4,44.3,1.9,47.1,0.6,5.2,0.9,45.3,1.6,46.9,0.8,4.3,1.1,80.8,20.6,30.7,42957.00
NM-03,51.8,36.7,57.5,38.7,61.2,37.5,63.4,31.2,62.4,37.6,61.5,38.4,42.6,1.4,36.4,0.9,17.5,1.2,43.7,1.3,36.4,1.2,16.1,1.3,86.5,27.3,42.6,50407.00
NY-01,42.2,54.5,49.6,49.1,51.4,47.6,47.4,51.5,41,58.9,45.5,54.4,81.9,4.7,9.4,2.9,0.2,0.8,80,4.3,11.2,3.3,0.2,1,92.1,35.7,37.7,93892.00
NY-02,43.9,53,51.6,47.2,51.3,47.9,46.9,53.1,37.5,62.4,30,68.3,70.7,9.4,16,2.8,0.1,1,68.8,8.5,18.5,2.9,0.1,1.1,88.6,30.9,35.2,98595.00
NY-03,51.6,45.5,50.8,48.2,53.5,45.7,59,41,52.8,47.2,54.8,45.2,75.4,3,7.6,13,0.1,0.8,73.9,2.9,9,12.7,0.1,1.4,92.9,52.7,55.1,113428.00
NY-04,53.4,43.8,56.3,42.8,55.3,43.9,61.3,38.7,59.5,40.4,52.8,47.1,64.9,14.7,13.3,6,0.1,1,63.2,13.5,16.5,5.4,0.1,1.3,89.7,42.3,49.4,105685.00
NY-05,85.7,12.7,90.6,9.1,86.1,13.6,99.4,0,85.4,13,94.9,0,13.6,53.2,16.5,14.6,0.5,1.7,13.1,50.1,17.9,11.4,0.5,7.1,81.7,25.6,37.4,69886.00
NY-06,65.1,32.1,67.8,31,63.4,35.7,90.5,0,72.1,26.7,98.9,0,42.9,4.4,18.5,32.4,0.3,1.5,39.7,3.7,17.4,37.1,0.1,2,83.8,36.2,42.8,64428.00
NY-07,86.9,10.4,88.3,10.3,84.4,14.9,93.3,0,90.7,9.2,88.7,9,36.2,10.2,36.4,15.7,0.2,1.3,28.6,8.4,41.3,19.5,0.2,2,72.8,33.8,61.7,55497.00
NY-08,84.6,13.5,89.3,10.1,86,13.6,94.2,0,93.2,0,92,0,27.4,51.1,15.5,4.5,0.1,1.4,24.5,51.5,16.9,4.7,0.2,2.2,84.2,32.5,53.5,52077.00
NY-09,83.5,14.4,85.3,13.8,84.1,15.4,89.2,10.3,92.3,0,89.3,0,35.2,47.1,9.9,6.1,0.1,1.5,31.2,50.2,10.6,5.9,0.2,2,85.9,38,62.6,56823.00
NY-10,78.3,18.8,73.6,25,75.7,23.4,82.1,17.8,78,21.9,87.4,0,67.8,4.1,11,15.4,0.1,1.6,65.5,4,11.9,16.8,0.1,1.8,88,60.8,70.6,90440.00
NY-11,43.8,53.6,51.6,47.3,48.3,50.9,53,46.5,36.7,61.5,42.1,54.8,66.1,6.8,13.8,12.1,0.2,1.1,66.8,6.3,13.9,11.5,0.1,1.3,86.2,35.1,38.3,72388.00
NY-12,83.3,13.5,76.9,21.5,80.1,18.9,86.3,12.1,83.1,16.8,79.9,20,70.7,4.8,12,10.7,0.1,1.6,68.5,4.5,12.3,12.6,0.1,2,94.1,72.7,79.9,104574.00
NY-13,92.3,5.4,94.6,4.6,93.3,6.1,94.4,5.4,88.6,6.9,87.3,0,17.6,28.8,47.7,4.1,0.1,1.6,14.1,27.1,52.6,4.3,0.2,1.7,74.3,31,72.1,42151.00
NY-14,77.7,19.8,80.7,18.3,76.1,23.2,78.1,13.6,82.8,17.1,88,0,31.3,12.4,41,14,0.3,1,27.5,9.8,44.8,15.7,0.1,1.9,76.8,26.3,40.3,56913.00
NY-15,93.8,4.9,96.7,3,94.6,5.2,95.9,4,95.2,3.5,97.1,0,3.4,31.6,62.1,1.8,0.3,0.8,2.7,29.4,64.3,1.9,0.2,1.4,65,13.4,28,28460.00
NY-16,75.1,22.5,73.7,25.5,72.9,26.4,99.3,0,94.4,0,99.3,0,41.9,31.6,20.7,4.7,0.2,1,41.9,30.1,21.3,4.7,0.2,1.9,85.1,39.8,56.7,70004.00
NY-17,58.6,38.4,57.1,41.8,58,41.2,87.8,0,99.1,0,56.4,43.5,68.3,10.5,14.6,5.3,0.1,1.1,64,10,18.7,5.9,0.1,1.2,88.3,46.2,53.5,98316.00
NY-18,47.1,49,51.4,47.1,52.1,46.9,55.5,44.5,55.6,44.4,49.7,47.8,74.3,9.1,12.6,2.5,0.2,1.3,74.3,8.2,13.1,2.9,0.2,1.4,90.8,36,39.1,84705.00
NY-19,44,50.8,52.1,45.9,53,45.3,51.3,46.1,45.7,54.2,35.5,64.5,88.2,3.9,5.2,1.2,0.1,1.3,87.9,4,5.4,1.3,0.2,1.1,89.8,28.9,29.9,62281.00
NY-20,54,40.5,59.2,38.8,58.3,39.8,66.5,33.5,67.9,32.1,61.2,38.7,82.1,8.2,4.9,2.9,0.2,1.6,82.6,7.7,4.2,3.5,0.2,1.8,92.2,38.2,40,66444.00
NY-21,40,53.9,52.2,46.1,51.7,46.7,42.4,56.1,30.1,65.3,33.8,55.1,91.6,3.1,2.8,0.7,0.8,1,92.1,2.9,2.4,0.8,0.8,0.9,89.5,23.8,24.4,55200.00
NY-22,39.3,54.8,48.8,49.2,49.1,49.1,50.8,49.1,41,46.5,0,98.4,90.8,3.4,2.9,1.6,0.2,1.1,90.7,3.3,2.5,2.1,0.3,1,89.6,24.7,24.9,53732.00
NY-23,39.7,54.5,48.4,49.6,49.6,48.8,45.7,54.2,42.4,57.6,38.3,61.7,91.2,2.7,3.1,1.3,0.5,1.2,91.1,2.6,2.7,2.1,0.5,1.1,89.8,26.1,25.8,51223.00
NY-24,48.9,45.3,57,41.1,56.2,42,47.3,52.6,39.4,60.5,40.3,59.5,86.3,7.2,3.3,1.5,0.4,1.4,86.2,6.8,2.9,2.2,0.6,1.3,89.9,30.8,32.1,57560.00
NY-25,55.5,39.1,58.8,39.4,58.8,39.9,59,41,56.1,43.8,50.2,49.7,75.8,13.6,6.9,2.2,0.2,1.4,75.9,13.2,6,3.3,0.2,1.3,90.1,37.6,43.1,56974.00
NY-26,57.6,38,63.9,34.3,63.4,35,73.3,26.7,74.6,25.4,68.1,31.8,74.7,16.5,5.2,2,0.4,1.3,75.1,15.9,4.3,3,0.5,1.2,89.8,31.5,34.7,49151.00
NY-27,35.2,59.7,42.9,55.3,44.5,53.9,48.7,49.1,32.8,67.2,28.9,71,93.5,2.4,1.9,0.8,0.7,0.7,93.5,2.4,1.8,0.9,0.7,0.7,92.9,30,30.5,65142.00
NC-01,67.5,30.5,68.1,31.2,67.4,32.2,69.8,30.2,68.6,29,Redrawn,,47.7,45.7,3,1.3,0.7,1.4,46.2,44.4,6.6,2,0.8,3.8,83.5,27.6,37.5,43636.00
NC-02,43.6,53.2,43,56,44.8,54.3,45.8,51.3,43.3,56.7,Redrawn,,71.6,20.2,4.7,1.5,0.4,1.6,70.7,19.7,7.1,1.8,0.6,3.6,89.8,35.3,39.7,68205.00
NC-03,36.9,60.5,40.6,58.5,42.7,57,0,100,32.8,67.2,Redrawn,,71.6,20.3,4.9,1.2,0.4,1.7,71.2,21.2,5.4,1.4,0.5,2.4,88.3,23.6,27,49868.00
NC-04,68.2,28.2,64.5,34.2,65.8,33.2,72.4,24,68.2,31.8,Redrawn,,64.7,23.3,4.3,5.5,0.4,1.8,61.6,22.4,8.7,6.6,0.4,4.2,92.3,53.7,62.7,69888.00
NC-05,39.8,57.4,42.3,56.5,44.7,54.3,43,57,41.6,58.4,Redrawn,,79.6,14.6,3.6,1,0.4,0.9,77.7,14,6.7,1.1,0.3,3.9,85.2,26.3,28,46116.00
NC-06,41.4,56.1,43.2,55.9,45.2,53.8,43.5,56.5,40.8,59.2,Redrawn,,73,20.8,3.6,1.2,0.3,1.2,71.1,19.9,7.1,1.2,0.5,3.8,85.2,24.4,27.5,49242.00
NC-07,39.9,57.6,43.2,55.9,44.8,54.7,42.8,55.5,39.1,60.9,Redrawn,,74.5,19.5,3.3,0.7,0.8,1.3,70.8,20.3,7,0.8,0.9,4.3,86.4,25.3,30,47599.00
NC-08,41.1,56.1,44.4,54.7,45.4,54,44.7,55.3,41.2,58.8,Redrawn,,66.3,23.1,5.8,1.8,1.1,1.8,66.9,22.5,7.3,2,1.2,3.3,88.9,26.3,28.2,52011.00
NC-09,42.8,54.4,43.8,55.4,45.5,54.3,48.9,49.3,41.8,58.2,Redrawn,,65.2,19.6,3.8,1.9,8.2,1.3,64.1,19.6,5.9,2,8,3,87.5,33.8,40.8,58791.00
NC-10,36.4,61,40.4,58.5,41.7,57.5,40.7,59.3,36.9,63.1,Redrawn,,82.8,11.9,2.8,1.2,0.4,1,81.9,11.6,4.5,1.3,0.3,2.1,86,24.1,26.2,47761.00
NC-11,34,63.2,39.1,59.6,41.6,57.1,38.7,59.2,35.9,64.1,Redrawn,,91.1,3.2,2.4,0.9,1.4,1,89.6,3.3,4.3,1,1.3,2.2,86.2,25.3,26.4,46044.00
NC-12,68.4,28.4,67.8,31.3,69.5,31.6,73.1,26.9,67,33,Redrawn,,48.5,39.8,6,3.4,0.3,2.1,46.6,36.2,12.1,4.7,0.5,6.4,88.5,40.2,53.5,58604.00
NC-13,44,53.4,46.1,52.9,48.1,51.2,45.5,51.5,43.9,56.1,Redrawn,,70.9,22.4,3.1,2,0.4,1.2,69.8,21.2,5.7,2.6,0.4,3,87.5,28.5,31.5,50489.00
ND-AL,27.7,64.1,38.9,58.7,44.7,53.3,35.6,60.2,23.7,69.1,38.5,55.5,89.2,1.8,2.6,0.7,4.3,1.5,91,1,1.5,1.1,4.4,1,92.5,29.5,30.4,63473.00
OH-01,44.6,51.2,46.3,52.4,47.2,51.8,46.9,51.3,40.8,59.2,36.8,63.2,74.1,20.7,1.6,1.9,0.1,1.6,73.4,20.6,2.2,2.6,0.2,1.1,90.6,34.6,38,58727.00
OH-02,39.7,55.8,43.7,54.7,44.3,54.2,41.2,57.6,32.8,65,34,66,87.8,8.4,1.3,0.9,0.2,1.4,88.1,8,1.3,1.2,0.2,1.1,89.8,31.5,32,57316.00
OH-03,67,28.6,69.7,28.9,67.4,31.3,73.6,26.4,68.6,31.4,64.1,35.9,60.3,30.8,3.2,2.4,0.2,3.1,60.1,29.4,5,3.2,0.2,2,87.8,28.3,33.5,47009.00
OH-04,30.7,64.3,42,56,43.7,54.4,34.7,65.3,32,68,32.3,67.7,90,5.1,2.7,0.6,0.3,1.3,90.6,5,2.5,0.7,0.2,1,90.2,17.9,17.9,53746.00
OH-05,34.6,59.7,44.1,53.9,46,52.2,35.1,62.3,29.1,70.9,28.9,66.5,91.3,2.8,4,0.9,0.2,1,92.2,2.3,3.4,1.2,0.2,0.8,92.7,26.5,26.6,58998.00
OH-06,26.7,69.3,42.7,55.2,44.7,53.1,30.7,69.3,29.3,70.7,38.6,58.2,95.3,2.4,0.9,0.3,0.2,1.1,95.7,2.2,0.7,0.4,0.2,0.8,88.1,16.2,16.2,47533.00
OH-07,32.8,62.5,44.2,53.7,46.9,50.9,41.3,58.7,29,64,0,100,93,3.8,1.4,0.5,0.1,1.2,93.3,3.6,1.4,0.6,0.2,0.9,88.1,20.3,20.5,55108.00
OH-08,30.6,65.1,36.4,61.9,38.1,60.3,33.4,66.6,27,68.8,27.4,67.2,89.7,5.7,1.8,1.3,0.1,1.4,89.7,5.2,2.3,1.6,0.2,1,89.8,24.4,24.2,58060.00
OH-09,58.7,36.5,67.6,30.9,66.8,31.6,67.8,32.2,68.7,31.3,67.7,32.2,73.1,14.9,8.9,1,0.2,1.9,75.4,14.2,7.5,1.3,0.2,1.4,86.9,22.2,25.5,43718.00
OH-10,44,51.3,48.2,50.1,49.3,49.3,42.2,55.9,32.7,64.1,31.5,65.2,78.5,16.3,1.8,1.4,0.2,1.8,78.5,16,1.8,2,0.2,1.4,90.7,29.7,30.8,52467.00
OH-11,80.5,17,82.7,16.5,82,17.2,82.2,17.7,80.3,19.7,79.5,20.5,41.2,52,3.4,1.5,0.2,1.7,41.8,50.9,3.3,2.3,0.2,1.4,86.6,27,41.9,36851.00
OH-12,41.9,53.2,43.9,54.4,44.8,53.7,47.2,51.4,29.8,66.6,27.8,68.1,89.3,4.6,1.9,2.3,0.1,1.8,89.6,4.5,1.5,3,0.2,1.2,93.3,41.2,40.3,73376.00
OH-13,51.1,44.6,62.9,35.4,62.3,35.8,61,39,67.7,32.3,68.5,31.5,84.3,10.7,2.5,0.8,0.2,1.4,85.1,10.3,2.2,1.1,0.2,1.1,90,22.8,23.8,45087.00
OH-14,42.1,53.6,47.6,50.9,49.1,49.4,44.8,55.2,37.4,62.6,33,63.3,91.5,4.4,1.8,1.3,0.1,0.9,92,3.6,1.7,1.8,0.1,0.8,92.2,34.9,34.8,67937.00
OH-15,39.9,55.3,46.3,51.9,46.1,52.2,39.7,58.3,33.8,66.2,34,66,91.4,4,1.5,1.4,0.1,1.5,91.4,3.7,1.5,2.1,0.2,1.1,90.9,31.7,31,63542.00
OH-16,39.5,56.1,45.2,53.4,47.2,51.3,43.3,56.7,34.7,65.3,36.3,63.7,93.4,2.1,1.8,1.5,0.2,1,94,1.7,1.5,1.9,0.1,0.8,93.5,33.9,33.4,66805.00
OK-01,32.7,61.4,34.2,65.8,35.8,64.2,40.7,59.3,0,100,0,100,73,8.5,5,1.8,5.6,6,71.6,8.4,7.9,2.1,5.9,4.1,89.5,30,33.7,54859.00
OK-02,22.8,72.9,32.2,67.8,34.3,65.7,30.1,65,23.2,70.6,24.6,70,69.4,3.5,2.8,0.5,15.6,8.1,70.9,3.5,3.2,0.5,15.9,5.9,85,17,17.8,42319.00
OK-03,20.9,73.6,26.1,73.9,27.1,72.9,26.1,73.9,21.7,78.3,21.4,78.6,79.8,4,5.7,1,5.4,4.1,79.7,3.7,6.8,1.4,5.5,2.9,87.9,22.6,24.1,51611.00
OK-04,28.3,65.7,32.9,67.1,33.9,66.1,33,63.1,26.1,69.6,24.7,70.8,75.5,6.5,6,1.9,4.6,5.5,76.8,6.2,5.8,2.3,5.3,3.6,89.8,25.2,25.9,56380.00
OK-05,39.8,53.2,40.8,59.2,40.8,59.2,50.7,49.3,36.8,57.1,36.3,60.1,67.4,13.9,7.6,2.3,4.2,4.6,65.1,13,11.6,2.9,4.2,3.2,86.8,30.7,36.5,51669.00
OR-01,57.3,34.5,57.3,40,59.6,37.7,63.6,32.1,59.6,37,57.3,34.5,80.9,1.6,8,5.9,0.5,3,77.9,1.3,11,6.9,0.7,2.2,91.6,41.3,42.6,73956.00
OR-02,36.4,56.5,40.5,56.8,43.3,53.8,39.4,56.3,28,71.7,25.7,70.4,87,0.6,7.5,1,1.7,2.2,85.3,0.5,9.5,1.2,1.8,1.8,88.8,24.7,26.5,51574.00
OR-03,70.7,22.5,72,24.7,72.9,24.3,72.6,19.8,71.8,0,72.3,19.6,78.9,4.5,6.3,6.3,0.7,3.2,76.9,4.7,8.4,6.6,0.8,2.7,90.9,40.5,44.8,64361.00
OR-04,46.1,46,51.7,45,54.2,42.7,56,40.9,55.5,39.7,58.6,37.6,88.6,0.7,4.9,1.6,1,3.2,88.3,0.6,5.2,2.3,1.1,2.6,90.8,26.6,26.8,49031.00
OR-05,48.3,44.1,50.5,47.1,53,44.2,55,41.8,53.5,43,53.7,39.3,84.1,1,9,2.5,0.8,2.7,81.8,0.8,11.7,2.9,1,1.9,89.7,30.7,33.3,62502.00
