state,Sample,rep,dem,days_out,Other,end_date
Arizona,760,319,350,304,91,2020-01-04
New Mexico,967,337,520,302,110,2020-01-06
Michigan,600,238,261,301,101,2020-01-07
Mississippi,618,274,222,301,122,2020-01-07
North Carolina,700,294,308,296,98,2020-01-12
Kentucky,802,345,321,295,136,2020-01-13
North Carolina,800,384,352,293,64,2020-01-15
Michigan,1023,329,429,288,265,2020-01-20
Kentucky,1281,525,525,287,231,2020-01-21
Arizona,1000,470,450,284,80,2020-01-24
Tennessee,625,344,206,278,75,2020-01-30
Tennessee,625,288,219,278,118,2020-01-30
South Carolina,1756,896,667,275,193,2020-02-02
Alabama,625,312,262,271,51,2020-02-06
Alabama,625,319,262,271,44,2020-02-06
Arizona,400,157,184,268,59,2020-02-09
Kansas,300,141,113,264,46,2020-02-13
Maine,1008,423,433,264,152,2020-02-13
Michigan,845,330,380,259,135,2020-02-18
South Carolina,2382,1286,881,256,215,2020-02-21
New Hampshire,576,173,282,252,121,2020-02-25
New Hampshire,576,173,294,252,109,2020-02-25
New Hampshire,576,161,300,252,115,2020-02-25
North Carolina,911,374,419,251,118,2020-02-26
North Carolina,2120,912,1018,250,190,2020-02-27
Texas,2409,1180,988,250,241,2020-02-27
North Carolina,1288,567,540,249,181,2020-02-28
Mississippi,625,331,269,249,25,2020-02-28
Maine,872,375,410,245,87,2020-03-03
Arizona,666,280,313,245,73,2020-03-03
Arizona,600,252,294,244,54,2020-03-04
Michigan,550,227,221,241,102,2020-03-07
Oklahoma,500,285,155,240,60,2020-03-08
South Carolina,804,378,346,237,80,2020-03-11
Arizona,1036,373,497,237,166,2020-03-11
Kansas,1567,736,580,237,251,2020-03-11
Montana,903,424,424,235,55,2020-03-13
Arizona,847,373,424,234,50,2020-03-14
Arizona,2523,1135,1211,233,177,2020-03-15
Michigan,600,252,303,232,45,2020-03-16
Michigan,600,210,252,228,138,2020-03-20
Michigan,602,242,254,216,106,2020-04-01
Michigan,1019,387,459,216,173,2020-04-01
North Carolina,500,190,170,210,140,2020-04-07
Arizona,600,252,306,209,42,2020-04-08
Michigan,600,224,287,206,89,2020-04-11
Kentucky,4000,1600,1520,205,880,2020-04-12
Kansas,1271,534,559,203,178,2020-04-14
North Carolina,1318,527,619,202,172,2020-04-15
Colorado,379,118,181,198,80,2020-04-19
New Jersey,317,101,174,198,42,2020-04-19
New Jersey,319,105,185,198,29,2020-04-19
Michigan,801,288,368,196,145,2020-04-21
North Carolina,580,226,238,191,116,2020-04-26
Georgia,591,268,233,190,90,2020-04-27
Montana,459,180,212,190,67,2020-04-27
Texas,1183,438,284,190,461,2020-04-27
North Carolina,604,207,263,189,134,2020-04-28
Michigan,1270,470,584,188,216,2020-04-29
Iowa,1222,525,513,186,184,2020-05-01
Colorado,600,216,324,184,60,2020-05-03
North Carolina,1362,558,681,183,123,2020-05-04
Michigan,600,221,292,182,87,2020-05-05
Georgia,500,215,205,180,80,2020-05-07
Mississippi,606,353,185,180,68,2020-05-07
Iowa,632,265,265,178,102,2020-05-09
North Carolina,1111,458,440,178,213,2020-05-09
Arizona,600,228,306,176,66,2020-05-11
Georgia,700,322,287,174,91,2020-05-13
North Carolina,500,222,231,174,47,2020-05-13
Michigan,3070,1328,1469,170,273,2020-05-17
Maine,512,215,261,169,36,2020-05-18
Maine,512,220,225,169,67,2020-05-18
Alabama,601,282,264,169,55,2020-05-18
New Hampshire,790,308,395,169,87,2020-05-18
New Hampshire,788,268,410,169,110,2020-05-18
Georgia,1339,603,562,169,174,2020-05-18
Georgia,1339,603,589,169,147,2020-05-18
Georgia,1339,603,629,169,107,2020-05-18
Kansas,506,223,218,168,65,2020-05-19
Kansas,506,233,177,168,96,2020-05-19
North Carolina,391,129,137,166,125,2020-05-21
Arizona,400,165,205,165,30,2020-05-22
Kentucky,500,200,205,163,95,2020-05-24
South Carolina,591,248,248,161,95,2020-05-26
North Carolina,500,190,180,159,130,2020-05-28
Mississippi,871,427,357,159,87,2020-05-28
Michigan,1582,617,759,157,206,2020-05-30
Kansas,699,287,294,155,118,2020-06-01
Kansas,699,294,287,155,118,2020-06-01
Kansas,699,280,287,155,132,2020-06-01
Arizona,1002,371,501,154,130,2020-06-02
Michigan,600,216,306,153,78,2020-06-03
North Carolina,949,389,408,153,152,2020-06-03
Iowa,963,414,433,152,116,2020-06-04
Michigan,543,174,261,149,108,2020-06-07
Iowa,865,389,415,148,61,2020-06-08
Iowa,674,290,310,146,74,2020-06-10
Michigan,907,317,426,144,164,2020-06-12
New Mexico,740,252,355,143,133,2020-06-13
Georgia,661,291,297,143,73,2020-06-13
Michigan,600,182,218,141,200,2020-06-15
Arizona,1368,575,698,141,95,2020-06-15
Kentucky,898,476,296,141,126,2020-06-15
Kentucky,898,467,341,141,90,2020-06-15
Alabama,530,263,189,140,78,2020-06-16
Michigan,826,264,413,140,149,2020-06-16
Arizona,650,247,306,140,97,2020-06-16
Arizona,865,294,424,139,147,2020-06-17
North Carolina,902,325,406,139,171,2020-06-17
North Carolina,631,290,284,139,57,2020-06-17
Michigan,610,189,250,139,171,2020-06-17
North Carolina,653,255,274,138,124,2020-06-18
Michigan,600,225,306,136,69,2020-06-20
Alabama,600,282,264,134,54,2020-06-22
New Hampshire,931,363,475,134,93,2020-06-22
New Hampshire,932,345,466,134,121,2020-06-22
Arizona,946,397,473,133,76,2020-06-23
Arizona,946,416,473,133,57,2020-06-23
Georgia,1013,456,425,133,132,2020-06-23
North Carolina,1012,374,395,133,243,2020-06-23
Texas,1001,460,360,133,181,2020-06-23
North Carolina,1157,463,509,133,185,2020-06-23
Arizona,800,336,392,132,72,2020-06-24
Maine,600,270,222,132,108,2020-06-24
North Carolina,1149,473,473,131,203,2020-06-25
Texas,729,306,255,131,168,2020-06-25
Montana,517,222,245,130,50,2020-06-26
Arizona,527,242,221,129,64,2020-06-27
Michigan,1237,482,581,129,174,2020-06-27
Arizona,311,137,165,128,9,2020-06-28
Michigan,699,294,343,128,62,2020-06-28
North Carolina,468,192,239,128,37,2020-06-28
Iowa,800,376,392,128,32,2020-06-28
Arizona,600,256,299,127,45,2020-06-29
Colorado,840,336,428,126,76,2020-06-30
Georgia,513,246,221,124,46,2020-07-02
Alabama,509,254,204,124,51,2020-07-02
Maine,1022,429,470,123,123,2020-07-03
Texas,1677,704,486,119,487,2020-07-07
Arizona,600,258,312,119,30,2020-07-07
Alaska,663,351,265,119,47,2020-07-07
Alaska,1081,422,368,118,291,2020-07-08
North Carolina,818,319,384,118,115,2020-07-08
Alabama,558,245,198,117,115,2020-07-09
Arizona,1087,457,500,116,130,2020-07-10
Texas,1179,519,424,116,236,2020-07-10
Montana,1224,539,563,116,122,2020-07-10
Michigan,1041,437,510,116,94,2020-07-10
Arizona,345,155,179,114,11,2020-07-12
Michigan,824,354,412,114,58,2020-07-12
North Carolina,655,275,321,114,59,2020-07-12
Kentucky,800,360,328,114,112,2020-07-12
Montana,873,428,410,113,35,2020-07-13
North Carolina,547,242,259,111,46,2020-07-15
Georgia,800,352,360,111,88,2020-07-15
Arizona,700,290,336,110,74,2020-07-16
Georgia,701,322,306,110,73,2020-07-16
Iowa,701,300,313,110,88,2020-07-16
Kentucky,700,387,232,110,81,2020-07-16
Michigan,700,261,331,110,108,2020-07-16
Montana,701,330,307,110,64,2020-07-16
North Carolina,700,278,283,110,139,2020-07-16
Michigan,600,237,308,110,55,2020-07-16
South Carolina,604,290,248,109,66,2020-07-17
South Carolina,800,344,328,107,128,2020-07-19
Texas,750,356,280,106,114,2020-07-20
South Carolina,591,290,266,106,35,2020-07-20
Texas,880,414,334,106,132,2020-07-20
Michigan,756,287,363,106,106,2020-07-20
Michigan,600,201,243,105,156,2020-07-21
North Carolina,919,331,432,105,156,2020-07-21
Michigan,754,294,369,104,91,2020-07-22
Arizona,826,339,438,104,49,2020-07-22
North Carolina,882,362,441,104,79,2020-07-22
Arizona,816,343,416,104,57,2020-07-22
Arizona,858,300,455,103,103,2020-07-23
Maine,561,236,264,103,61,2020-07-23
North Carolina,939,376,451,103,112,2020-07-23
Minnesota,1218,475,585,103,158,2020-07-23
Maine,888,346,391,102,151,2020-07-24
North Carolina,735,317,315,102,103,2020-07-24
Michigan,811,284,422,102,105,2020-07-24
Arizona,873,375,436,102,62,2020-07-24
Michigan,927,352,501,102,74,2020-07-24
Arizona,908,327,472,100,109,2020-07-26
Colorado,616,259,296,100,61,2020-07-26
Georgia,1337,602,562,100,173,2020-07-26
Michigan,1320,462,647,100,211,2020-07-26
North Carolina,1504,556,692,100,256,2020-07-26
Arizona,365,164,172,100,29,2020-07-26
Michigan,413,182,198,100,33,2020-07-26
North Carolina,284,114,148,100,22,2020-07-26
Georgia,402,201,173,99,28,2020-07-27
Georgia,402,205,173,99,24,2020-07-27
New Hampshire,1893,663,1022,98,208,2020-07-28
Texas,700,301,294,97,105,2020-07-29
Kentucky,3020,1480,1389,97,151,2020-07-29
Michigan,876,342,412,97,122,2020-07-29
Oklahoma,572,286,194,96,92,2020-07-30
Michigan,600,240,300,96,60,2020-07-30
Iowa,500,180,200,96,120,2020-07-30
North Carolina,1121,437,538,95,146,2020-07-31
Georgia,1101,495,473,95,133,2020-07-31
Montana,584,292,255,93,37,2020-08-02
Alabama,609,317,213,93,79,2020-08-02
Kentucky,793,420,285,93,88,2020-08-02
South Carolina,741,326,319,93,96,2020-08-02
Texas,2576,1133,979,93,464,2020-08-02
Arizona,1215,486,608,93,121,2020-08-02
Iowa,1101,473,495,93,133,2020-08-02
Maine,866,390,416,93,60,2020-08-02
North Carolina,1170,480,573,93,117,2020-08-02
Iowa,401,192,188,92,21,2020-08-03
Kentucky,909,445,400,92,64,2020-08-03
Maine,807,347,379,92,81,2020-08-03
South Carolina,914,402,402,92,110,2020-08-03
Kansas,864,372,363,89,129,2020-08-06
